S. cerevisiae			
Genes included in this table have RNA RPM >= 10.0 and RPF RPM > 0 for RNA-Seq and ribosome profiling data			
Transcript ID	mRNA RPKM	RPF RPKM	log2(TE)
YBL106C	21.34	7.37	-1.533823652
YBL107C	44.15	42.64	-0.050206
YBR001C	45.99	24.89	-0.885753967
YBR002C	48.2	39.22	-0.297443611
YBR003W	49.56	25.77	-0.94348365
YBR004C	28.51	19.66	-0.536204718
YBR005W	20.4	15.04	-0.439764585
YBR006W	18.61	18.29	-0.02502298
YBR007C	17.84	10.7	-0.737504819
YBR008C	15.3	0.19	-6.331388424
YBR011C	1546.48	2538.92	0.715226761
YBR013C	40.32	22.98	-0.811116841
YBR014C	76.8	113.85	0.567956075
YBR015C	148.88	109.23	-0.446780814
YBR016W	123.24	382.41	1.633649663
YBR017C	122.59	79.09	-0.6322741
YBR020W	8.48	0.03	-8.142957954
YBR021W	15.54	10.65	-0.545133073
YBR022W	40.1	57.2	0.51241291
YBR023C	70.74	34.27	-1.045580027
YBR024W	22.04	25.04	0.184110338
YBR025C	820.32	998.55	0.283647866
YBR026C	72.77	96.65	0.409425922
YBR028C	46.81	27.4	-0.772640872
YBR029C	86.83	70.12	-0.308367588
YBR030W	30.45	13.12	-1.214674508
YBR034C	155.33	154.94	-0.00362685
YBR035C	180.25	269.68	0.581249273
YBR036C	116.45	106.81	-0.124663915
YBR037C	36.12	41.84	0.212084959
YBR038W	65.24	51.96	-0.328355351
YBR039W	183.82	249.87	0.442883955
YBR041W	64.68	40.41	-0.678607327
YBR042C	52.44	31.19	-0.749584133
YBR043C	25.13	5.16	-2.2839677
YBR044C	25.29	8.35	-1.598718934
YBR045C	5.37	0.77	-2.801991737
YBR046C	45.34	77.72	0.77750151
YBR049C	86.06	86.42	0.006022391
YBR052C	165.29	205.92	0.317084514
YBR053C	53.26	84.4	0.66419057
YBR054W	42.58	49.55	0.218709108
YBR055C	35.8	14.79	-1.275337535
YBR056W	66.09	54.41	-0.280560167
YBR057C	27.76	27.48	-0.014625564
YBR058C	55.03	42.98	-0.356552846
YBR058C-A	139.24	243.4	0.805755449
YBR059C	69.04	43.12	-0.679075286
YBR060C	36.98	18.13	-1.0283663
YBR061C	51.65	64.85	0.328338225
YBR062C	53.41	78.81	0.561268817
YBR063C	25.75	0.19	-7.082429204
YBR065C	33.12	18.7	-0.824664403
YBR066C	44.5	51.95	0.223318413
YBR067C	210.69	484.38	1.201017457
YBR068C	250.86	180.66	-0.473605335
YBR069C	247.75	157.53	-0.653258456
YBR070C	43.33	30.42	-0.510346084
YBR071W	42.38	77.88	0.877869296
YBR072W	56.11	96.69	0.785108776
YBR073W	73.07	33.13	-1.141141004
YBR074W	75.99	45.38	-0.743752969
YBR077C	63.69	83.39	0.388807516
YBR078W	1107.35	1832.61	0.72678851
YBR079C	297.16	257.98	-0.203980707
YBR080C	99.83	106.71	0.096150049
YBR081C	40.01	17.99	-1.153165442
YBR082C	527.85	1311.48	1.312995887
YBR083W	47.23	48.57	0.040361951
YBR084W	242.44	151.01	-0.682983659
YBR085C-A	201.63	341.6	0.760597665
YBR085W	22.83	22.36	-0.030010671
YBR086C	159.16	79.9	-0.994210396
YBR087W	55.63	49.25	-0.175739381
YBR088C	151.22	256.4	0.761747302
YBR091C	57.2	68.76	0.265554398
YBR094W	40.43	30.9	-0.387819365
YBR095C	30.46	23.1	-0.39902309
YBR096W	144.59	133.9	-0.110811817
YBR097W	24.44	8.11	-1.591470466
YBR098W	12.39	6.35	-0.96434769
YBR101C	94.33	110.05	0.222370572
YBR102C	35.53	28.41	-0.322638857
YBR103W	30.93	21.43	-0.529374983
YBR104W	40.86	41.58	0.025200554
YBR105C	26.91	20.16	-0.416646752
YBR106W	1093.93	1171.9	0.099329044
YBR107C	19.53	5.51	-1.825567725
YBR108W	19.58	17.61	-0.152985856
YBR109C	382.71	735.21	0.941904791
YBR110W	61.81	38.56	-0.680735213
YBR111C	174.8	219.02	0.325357432
YBR111W-A	85.04	110.33	0.375611628
YBR114W	15.83	7.34	-1.108809287
YBR115C	108.28	90.31	-0.261809142
YBR119W	30.45	29.11	-0.064927389
YBR120C	32.77	50.48	0.623336237
YBR121C	638.19	615.2	-0.052930499
YBR122C	90.86	100.64	0.147486617
YBR123C	28.43	23.67	-0.264354393
YBR125C	43.04	28.35	-0.602329343
YBR126C	189.99	308.75	0.700515651
YBR127C	917.04	1079.44	0.235226486
YBR129C	40.85	23.03	-0.826821667
YBR130C	71.07	45.91	-0.630432267
YBR131W	14.99	8.01	-0.904126236
YBR132C	29.94	17.78	-0.751818897
YBR133C	60.56	18.64	-1.699963345
YBR135W	67.69	103.78	0.616513819
YBR136W	23.44	4.03	-2.540120826
YBR137W	79.77	124.39	0.640952326
YBR138C	15.84	13.87	-0.191604548
YBR139W	81.42	84.38	0.051517866
YBR140C	57.93	12.26	-2.240351686
YBR141C	19.01	17.9	-0.086798944
YBR142W	64.1	45.74	-0.486867991
YBR143C	434.66	493.08	0.1819344
YBR145W	20.91	17.99	-0.216997875
YBR146W	82.61	69.7	-0.245157775
YBR149W	188.64	235.43	0.319662546
YBR151W	100.17	77.07	-0.378209203
YBR152W	20.05	17.39	-0.205344304
YBR153W	25.36	13.93	-0.864359488
YBR154C	204.95	326.7	0.672694465
YBR155W	56.71	75.31	0.409238289
YBR156C	16.77	8.21	-1.030428562
YBR157C	32.51	23.86	-0.446289513
YBR158W	216.48	72.25	-1.583164252
YBR159W	200.44	204.39	0.02815417
YBR160W	60.57	81.45	0.427311287
YBR161W	28.38	22.46	-0.337516662
YBR162C	533.42	655.54	0.297411896
YBR162W-A	342.98	576.32	0.748745635
YBR163W	28.69	4.83	-2.570452874
YBR164C	134.37	205.14	0.610397757
YBR165W	25.28	31.08	0.29799004
YBR166C	49.98	61.1	0.289821479
YBR167C	32.75	39.79	0.280910992
YBR168W	22.89	7.75	-1.562449247
YBR169C	47.29	40.04	-0.240093168
YBR170C	63.73	62.03	-0.039006536
YBR171W	126.45	149.02	0.236938931
YBR172C	53.96	46.6	-0.211560393
YBR173C	114.19	252.96	1.147472958
YBR175W	32.65	22.47	-0.539082867
YBR176W	30.38	34.15	0.168763709
YBR177C	79.09	78.41	-0.012457635
YBR179C	34.01	20.92	-0.701076154
YBR183W	28.92	13.73	-1.074735927
YBR185C	36.56	42.69	0.223632092
YBR187W	175.77	151.88	-0.210756952
YBR188C	30.93	46.86	0.599350121
YBR189W	4284.12	6384.07	0.575477579
YBR192W	36.44	29.55	-0.302364829
YBR193C	34.04	30.22	-0.171727377
YBR194W	32.88	23.88	-0.461407462
YBR195C	24.38	20.43	-0.255008922
YBR196C	2165.95	2752.87	0.345936543
YBR197C	32.58	24.26	-0.425407053
YBR198C	62.51	53.06	-0.236462327
YBR199W	121.39	92.73	-0.388541519
YBR200W	43.35	31.92	-0.441571342
YBR201W	27.33	20.89	-0.387672967
YBR202W	60.33	46.1	-0.388108832
YBR203W	4.78	1.09	-2.132682483
YBR204C	31.35	22.47	-0.480465319
YBR205W	160.19	134.79	-0.249070621
YBR207W	61.72	53.31	-0.21133188
YBR208C	43.34	17.63	-1.297666679
YBR210W	58.01	57.49	-0.012990589
YBR211C	22.3	20.08	-0.151284441
YBR212W	44.39	43.91	-0.015685174
YBR213W	15.41	17.9	0.216092726
YBR214W	26.1	33.3	0.351472371
YBR215W	22.87	21.88	-0.063843628
YBR216C	34.09	23.54	-0.534234279
YBR217W	21.25	10.45	-1.023959899
YBR220C	52.44	25.83	-1.021620042
YBR221C	572.47	640.35	0.161660572
YBR222C	83.48	87.62	0.069829614
YBR223C	13.96	5.67	-1.299878301
YBR225W	17.7	8.63	-1.036316896
YBR227C	36.6	35.79	-0.032287105
YBR228W	21.5	8.72	-1.30193662
YBR229C	74.73	46.56	-0.682596464
YBR230C	131.52	210.95	0.681618883
YBR231C	20	21.38	0.096261853
YBR233W	20.27	28.36	0.484511444
YBR233W-A	43.89	62.72	0.515033289
YBR234C	159.31	183.37	0.202920799
YBR235W	34.21	11.22	-1.608345428
YBR236C	50.48	41.09	-0.29692458
YBR237W	21.28	7.09	-1.585640618
YBR238C	33.52	17.15	-0.966813573
YBR239C	12.69	5.47	-1.214079331
YBR241C	20.4	15.32	-0.413152855
YBR242W	50.87	52.88	0.055907083
YBR243C	67.29	48.19	-0.48165832
YBR244W	127.69	194.48	0.606976253
YBR245C	74.97	64.46	-0.217909214
YBR246W	42.28	23.26	-0.86212428
YBR247C	73.86	92.35	0.322318699
YBR248C	72.63	105.09	0.532987909
YBR249C	409.09	578.52	0.499948564
YBR251W	37.74	51.44	0.44679622
YBR252W	164.66	238.36	0.533652021
YBR253W	69.15	40.31	-0.778591468
YBR254C	59.06	64.68	0.131138322
YBR255W	18.01	8.23	-1.129833845
YBR256C	105.2	72.25	-0.542065212
YBR257W	26.8	30.45	0.184209227
YBR259W	16.28	3.38	-2.268005548
YBR260C	40.97	25.57	-0.680115732
YBR261C	109.79	128.66	0.228816938
YBR262C	77.13	66.55	-0.212853445
YBR263W	325.91	322.05	-0.017188928
YBR264C	48.37	49.28	0.026889718
YBR265W	61.69	58.93	-0.06603438
YBR267W	61.51	81.94	0.413746917
YBR268W	87.61	143.67	0.713591385
YBR269C	84.32	137.77	0.708314997
YBR271W	32.08	22.49	-0.512390481
YBR272C	37.61	31.52	-0.254848772
YBR273C	49.51	59.42	0.263228656
YBR274W	26.81	10.79	-1.313076354
YBR275C	31.35	11.51	-1.44557761
YBR276C	56.83	6.9	-3.041984448
YBR278W	35.88	29.55	-0.28002176
YBR279W	72.08	71.46	-0.012463097
YBR280C	12.31	8.87	-0.472824752
YBR281C	41.55	30.32	-0.454578723
YBR282W	77.41	110.71	0.516193687
YBR283C	296.82	267.39	-0.150642794
YBR286W	671.5	691.91	0.043196992
YBR287W	91.29	56.24	-0.69886024
YBR288C	58.67	43.62	-0.427633222
YBR289W	29.3	21.89	-0.42062871
YBR290W	38.23	48.7	0.349216572
YBR291C	22.04	14.79	-0.575502171
YBR293W	18.36	2.8	-2.713067326
YBR295W	15.57	1.81	-3.104707342
YBR296C	10.45	9.24	-0.177538186
YBR298C	8.01	0.07	-6.83830351
YCL001W	153.84	192.49	0.323352831
YCL002C	45.55	11.42	-1.995888403
YCL004W	14.41	4.27	-1.754762361
YCL005W	28.99	14.92	-0.958307798
YCL005W-A	411.91	670.99	0.703962114
YCL008C	28.54	16.89	-0.756816007
YCL009C	452.05	431.37	-0.067556507
YCL010C	61.91	31.6	-0.970247901
YCL011C	159.04	116.73	-0.446214276
YCL012C	39.76	32.11	-0.308295092
YCL014W	47.55	22.2	-1.098885665
YCL016C	18.63	17.82	-0.064130337
YCL017C	128.39	129.83	0.016090949
YCL021W-A	54.62	1.13	-5.595034636
YCL024W	23.61	8.42	-1.487505903
YCL025C	29.09	26.06	-0.158686213
YCL027W	15.59	13.26	-0.233540153
YCL028W	125.61	275.87	1.135037253
YCL029C	29.96	26.8	-0.160804623
YCL030C	287.91	289.56	0.008244422
YCL031C	109.51	93.27	-0.231577594
YCL032W	25.2	20.57	-0.29288194
YCL033C	67.12	99.09	0.561996755
YCL034W	87.05	77.64	-0.16504418
YCL035C	217.73	513.79	1.238638608
YCL036W	27.37	12.31	-1.152764673
YCL037C	269.72	464.86	0.785333788
YCL038C	24.64	15.17	-0.69978117
YCL039W	18.61	12.77	-0.54331953
YCL043C	878.05	1031.64	0.232564617
YCL044C	23.56	28.59	0.279171081
YCL045C	166.72	147.1	-0.180629936
YCL047C	33.42	35.9	0.103272111
YCL049C	22.9	19.99	-0.196069126
YCL050C	207.44	425.35	1.035956343
YCL051W	25.52	12.85	-0.98985997
YCL052C	38.88	26.21	-0.568910865
