S. cerevisiae			
Genes included in this table have RNA RPM >= 10.0 and RPF RPM > 0 for RNA-Seq and ribosome profiling data			
Transcript ID	mRNA RPKM	RPF RPKM	log2(TE)
YDL195W	206.14	172.77	-0.254771749
YDL197C	24.78	4.26	-2.540250852
YDL198C	53.14	64.67	0.283298383
YDL199C	7.35	3.78	-0.959358016
YDL200C	31.77	23.08	-0.461021866
YDL201W	95.22	116.53	0.291364883
YDL202W	53.51	63.63	0.249898593
YDL203C	30.91	14.65	-1.07717299
YDL204W	13.07	2.71	-2.269894384
YDL205C	91.11	76.12	-0.259333848
YDL206W	12.37	2.45	-2.335991846
YDL207W	30.83	20.8	-0.567751361
YDL208W	339.79	497.94	0.551328518
YDL209C	17.63	13.3	-0.406606229
YDL211C	10.54	4.97	-1.08455711
YDL212W	244.67	223.45	-0.130885173
YDL213C	89.26	135.89	0.606353582
YDL215C	42.75	29.43	-0.538636878
YDL216C	11.51	7.55	-0.608339284
YDL217C	40.2	52.57	0.387044234
YDL219W	101.37	133.14	0.393313317
YDL220C	16.44	5.82	-1.498119241
YDL223C	13.17	2.67	-2.302343699
YDL224C	45	32.41	-0.473485981
YDL225W	63.3	84.67	0.419645389
YDL226C	172.85	224.43	0.376744933
YDL227C	88.29	89.8	0.024465402
YDL230W	24.65	20.94	-0.235326204
YDL231C	27.49	1.02	-4.75226585
YDL232W	164.65	120.97	-0.444753202
YDL233W	19.23	15.01	-0.357434786
YDL234C	19.57	14.69	-0.41380936
YDL235C	145.59	154.41	0.084854922
YDL236W	111.14	170.17	0.614598575
YDL237W	97.53	69.84	-0.481792498
YDL238C	20.45	5.27	-1.956225976
YDL239C	12.5	0.1	-6.965784285
YDL240W	28.64	10.91	-1.392380391
YDR001C	80.54	63.85	-0.335018852
YDR002W	799.94	1427.73	0.835759476
YDR003W	42.37	29.73	-0.511123665
YDR004W	22.6	8.03	-1.49285088
YDR005C	41.74	32.24	-0.372578857
YDR006C	36.28	18.47	-0.97399059
YDR007W	63.19	48.84	-0.371633065
YDR011W	229.72	109.1	-1.074225365
YDR013W	39.52	30.26	-0.385170959
YDR014W	14.33	6.38	-1.167410281
YDR016C	60.06	73.15	0.284453389
YDR017C	51.22	25.22	-1.022138977
YDR019C	156.21	155.86	-0.003236091
YDR020C	28.86	24.04	-0.263634404
YDR021W	22.07	22.75	0.043779916
YDR022C	21.58	13.56	-0.670337686
YDR023W	678.92	912.5	0.426582973
YDR026C	35.83	11.74	-1.609735635
YDR027C	33.78	15.89	-1.088050203
YDR028C	97.75	53.32	-0.874419922
YDR030C	7.29	4.01	-0.862316578
YDR032C	292.04	597.32	1.032338043
YDR033W	1054.72	1253.52	0.249124962
YDR034C	34.88	16.03	-1.121625615
YDR035W	156.66	182.35	0.219073336
YDR036C	56.23	47.64	-0.239166634
YDR037W	670.28	845.26	0.334631292
YDR041W	57.24	59.31	0.0512517
YDR043C	15.97	19.08	0.256696859
YDR044W	83.43	107.46	0.365161593
YDR045C	63.79	109.4	0.778210555
YDR046C	112.35	80.21	-0.486146107
YDR047W	86.61	75.11	-0.20552861
YDR049W	29.29	25.57	-0.195956033
YDR050C	6209.21	9898.52	0.672803108
YDR051C	52.16	65.87	0.336677681
YDR052C	37.46	20.49	-0.870430915
YDR054C	94.91	105.2	0.148502698
YDR055W	102.56	171.4	0.740898942
YDR056C	110.16	149.44	0.439965896
YDR057W	26.56	27.18	0.033290309
YDR058C	13.12	7.9	-0.731843162
YDR059C	27.35	31.41	0.19968311
YDR060W	141.82	102.16	-0.473230571
YDR061W	43.22	25.8	-0.744328007
YDR062W	171.4	108.82	-0.655423376
YDR063W	102.13	137.49	0.428919981
YDR064W	4774.39	7828.49	0.713417641
YDR065W	17.74	7.12	-1.317056863
YDR067C	31.49	16.16	-0.962466559
YDR068W	51.18	61.93	0.275058299
YDR069C	19.83	8.26	-1.263470991
YDR071C	266.03	444.78	0.741502971
YDR072C	57.86	37.13	-0.639981008
YDR073W	55.76	23.26	-1.261379464
YDR074W	106.33	99.43	-0.096795585
YDR075W	31.88	32.15	0.012167108
YDR076W	12.87	4.45	-1.532134812
YDR078C	17.89	4.47	-2.000806651
YDR080W	23.35	15.46	-0.594882231
YDR081C	29.2	18.01	-0.697170188
YDR082W	16.08	1.32	-3.606657572
YDR084C	67.37	73.23	0.120328497
YDR085C	10.26	3.81	-1.429167828
YDR086C	801.68	1235.81	0.624358565
YDR087C	91.23	135.49	0.570606153
YDR088C	19.51	21.57	0.144812399
YDR089W	48.25	31.75	-0.60377235
YDR090C	28.28	22.48	-0.331140085
YDR091C	198.51	185.78	-0.095616488
YDR092W	125.18	250.61	1.001439902
YDR093W	78.16	28.98	-1.431372872
YDR096W	19.99	11.26	-0.828071645
YDR097C	47.52	35.06	-0.43870884
YDR098C	164.45	287.23	0.804557432
YDR100W	100.55	132.2	0.394809095
YDR101C	116.68	102.67	-0.184542601
YDR103W	31.72	17.29	-0.875454902
YDR104C	11.81	3.67	-1.686156997
YDR105C	48.57	28.97	-0.745505802
YDR107C	28.47	17.72	-0.684063889
YDR108W	23.14	12.04	-0.942553472
YDR109C	19.73	8.9	-1.148513715
YDR110W	31.65	20.23	-0.64570918
YDR111C	26.79	14.64	-0.871779028
YDR113C	22.92	39.59	0.788529023
YDR115W	79.51	110.29	0.472093762
YDR116C	42.16	51.51	0.288977673
YDR117C	48.18	46.09	-0.063980626
YDR118W	18.49	10.11	-0.870962228
YDR119W	114.56	72.48	-0.660448537
YDR120C	110.1	88.21	-0.319800346
YDR121W	50.18	63.13	0.33121328
YDR122W	54.42	26.52	-1.037056181
YDR123C	14.28	12.65	-0.174858594
YDR127W	189.79	140.08	-0.43815299
YDR128W	36.2	9.56	-1.920907174
YDR129C	260.76	365.23	0.486082693
YDR130C	25.63	22.11	-0.213134453
YDR131C	12.06	6.75	-0.8372705
YDR132C	12.55	8.18	-0.617514616
YDR135C	139.34	63.88	-1.125173251
YDR137W	29.56	13.54	-1.126418531
YDR138W	38.22	18.19	-1.071182235
YDR139C	113.59	170.62	0.586950937
YDR140W	60.15	41.02	-0.552237246
YDR141C	57.87	27.27	-1.085500944
YDR142C	16.49	10.9	-0.597263264
YDR143C	45.14	29.72	-0.602972303
YDR144C	110.54	76.08	-0.538979366
YDR145W	67.78	61.67	-0.136290791
YDR146C	47.7	46.22	-0.045472006
YDR147W	32.99	21.01	-0.650952616
YDR148C	108.52	142.91	0.397145919
YDR151C	45.19	47.73	0.078892779
YDR152W	109.23	114.2	0.064193504
YDR153C	48.64	72.16	0.56905611
YDR155C	3262.31	5951.42	0.867340054
YDR156W	92.47	160.66	0.796953488
YDR158W	448.35	791	0.819052297
YDR159W	31.92	8.84	-1.852342377
YDR160W	16.55	2.8	-2.563332485
YDR161W	92.72	93.83	0.017168699
YDR162C	27.51	56.35	1.034459471
YDR164C	39.02	23.75	-0.716286265
YDR165W	105.73	91.27	-0.212172151
YDR166C	32.87	19.61	-0.745181921
YDR167W	58.95	105.88	0.844866382
YDR168W	139.6	195.32	0.484540742
YDR169C	27.29	24.83	-0.136288133
YDR171W	43.81	61.28	0.484156083
YDR172W	325.39	423.04	0.378624168
YDR173C	24.66	18.47	-0.416988933
YDR174W	265.75	234.65	-0.179559231
YDR175C	40.27	51.8	0.363246626
YDR176W	44.03	18.93	-1.217812433
YDR177W	136.4	258.73	0.923603701
YDR178W	51.44	88.14	0.776906254
YDR179C	29.06	21.22	-0.453610047
YDR179W-A	20.33	6.14	-1.727299654
YDR180W	26.43	9.77	-1.435745958
YDR181C	21.68	12.46	-0.799060688
YDR182W	66.15	55.74	-0.247028154
YDR183W	25.75	31.64	0.297177168
YDR184C	41.29	31.15	-0.406560255
YDR186C	56.15	23.53	-1.254784702
YDR188W	295.42	316.8	0.100804835
YDR189W	77.36	71.01	-0.123565588
YDR190C	165.86	211.49	0.350623452
YDR191W	11.24	10.7	-0.071031239
YDR192C	25.22	33.2	0.396614966
YDR194C	146.4	72.6	-1.0118741
YDR195W	25.36	25.85	0.027609535
YDR196C	48.19	46.71	-0.045002356
YDR197W	21.57	11.25	-0.939101175
YDR198C	19.24	11.7	-0.717600269
YDR200C	25.84	11.99	-1.107774411
YDR201W	38.17	45.23	0.244840809
YDR202C	33.46	19.67	-0.766440488
YDR204W	55.25	40.62	-0.443784225
YDR205W	26.51	16.22	-0.708762851
YDR206W	54.65	16.01	-1.771248188
YDR207C	25.59	17.52	-0.546577372
YDR208W	63.12	33.02	-0.934757085
YDR210W	253.91	443.87	0.805819989
YDR211W	141.83	93.59	-0.599736432
YDR212W	311.33	308.18	-0.014671365
YDR213W	28.79	16.42	-0.810113662
YDR214W	197.7	261.41	0.40300146
YDR216W	15.68	5.67	-1.467504919
YDR217C	32.25	16.17	-0.995979482
YDR219C	31.92	23.55	-0.438733592
YDR221W	54.05	34.88	-0.631894578
YDR222W	24.36	23.92	-0.026296744
YDR224C	891.62	1862.54	1.062770526
YDR226W	1238.83	1991.75	0.685058349
YDR227W	24.77	10.11	-1.292810871
YDR228C	33.43	21.02	-0.669380686
YDR229W	28.66	27.51	-0.05908247
YDR231C	37.04	31.94	-0.213719786
YDR232W	160.54	123.86	-0.374222452
YDR233C	421.42	536.57	0.348507611
YDR234W	83.22	61.3	-0.441043214
YDR235W	33.4	14.29	-1.224842186
YDR236C	34.66	24.62	-0.493440893
YDR237W	53.54	47.47	-0.173601089
YDR238C	228.92	189.41	-0.273331011
YDR239C	26.98	16.32	-0.725249291
YDR240C	23.36	16.95	-0.462755001
YDR242W	9.42	0.77	-3.612796709
YDR243C	23.95	16.17	-0.566705977
YDR244W	33	26.25	-0.330148602
YDR245W	134.64	100.31	-0.424641645
YDR246W	28.92	35.38	0.290866496
YDR247W	17.37	10.95	-0.665666884
YDR248C	55.11	44.71	-0.301716581
YDR249C	13.93	5.4	-1.367163946
YDR251W	65.67	32.54	-1.013020204
YDR254W	18.21	9.06	-1.007147967
YDR255C	23.22	9.29	-1.32161747
YDR257C	47.57	31.13	-0.611746448
YDR258C	79.81	75.89	-0.072659729
YDR260C	31.95	42.52	0.412325666
YDR261C	79.74	52.14	-0.612913022
YDR262W	75.89	55.83	-0.442869239
YDR263C	16.16	1.06	-3.930291028
YDR264C	153.8	80.65	-0.931309065
YDR265W	22.39	8.21	-1.447400401
YDR266C	62.71	48.9	-0.358861054
YDR267C	25.62	40.61	0.664564552
YDR268W	27.14	19.25	-0.495562275
YDR270W	31.58	19.88	-0.667693414
YDR272W	97.2	167.67	0.786596362
YDR275W	39.19	4.07	-3.267384873
YDR276C	684.37	1213.36	0.826159233
YDR277C	11.49	7.95	-0.531352032
YDR279W	29.23	21.09	-0.470890734
YDR280W	58.17	73.62	0.339822446
YDR281C	54.8	55.62	0.021427851
YDR282C	16.13	11.33	-0.509598577
YDR283C	41.6	13.03	-1.674746444
YDR284C	62.9	60.38	-0.05898926
YDR285W	6.05	1.83	-1.725091494
YDR286C	53.37	47.65	-0.163552797
YDR287W	33.73	33.09	-0.027637027
YDR288W	34.32	16.05	-1.096476255
YDR289C	33.13	42.54	0.36068183
YDR291W	29.28	8.5	-1.784380807
YDR292C	79.52	58.56	-0.441402203
YDR293C	121.87	67.63	-0.849607771
YDR294C	87.12	60.6	-0.52368616
YDR295C	29.62	20.89	-0.503759148
YDR296W	69.26	73.66	0.08885901
YDR297W	126.77	116.79	-0.118296623
YDR298C	160.15	206.55	0.367067262
YDR299W	56.38	75.2	0.415549184
YDR300C	107.53	105.18	-0.031878814
YDR301W	43.95	19.74	-1.154741176
YDR302W	41.61	57.45	0.465376604
YDR303C	63.23	31.5	-1.005257391
YDR304C	333.91	492.48	0.560605837
YDR305C	39.1	37.16	-0.073418106
YDR306C	26.81	13.52	-0.987676068
YDR307W	37.17	28.7	-0.373087951
YDR308C	66.59	73.44	0.141260519
YDR309C	55.05	88.83	0.690304427
YDR310C	55.86	21.88	-1.352202835
YDR311W	35.97	26.72	-0.428874152
YDR313C	26.27	12	-1.130381795
YDR314C	16.05	3.03	-2.405183599
YDR315C	12.79	3.99	-1.680555613
YDR316W	20.47	14	-0.548084275
YDR318W	14.25	8.89	-0.680706595
YDR319C	22.77	16.49	-0.465542893
YDR320C	36.83	34.08	-0.111956062
YDR320C-A	84.33	71.47	-0.238708166
YDR321W	285.94	352.75	0.302933631
YDR322C-A	72.09	211.94	1.555784843
YDR322W	43.14	47.15	0.128231594
YDR323C	13.95	5.37	-1.377271129
YDR324C	75.33	71.35	-0.0783111
YDR325W	34.53	14.62	-1.239907023
YDR326C	65.81	21.76	-1.596628265
YDR328C	182.66	312.43	0.774372251
YDR329C	37.97	28.66	-0.405821389
YDR330W	27.93	30.16	0.110820855
YDR331W	61.11	56.75	-0.106788089
YDR332W	14.78	3.42	-2.111578039
YDR333C	47.39	32.35	-0.550816949
YDR334W	45.93	8.87	-2.372430774
YDR335W	74.54	41.16	-0.856771837
YDR336W	21.99	7.65	-1.523315951
YDR337W	52.21	62.42	0.257682199
YDR338C	15.78	8.56	-0.882414504
YDR339C	85.09	104.02	0.289799445
YDR341C	364.17	398.85	0.131234199
YDR346C	203.39	184.35	-0.141801332
YDR347W	94.53	54.66	-0.790286795
YDR348C	53.73	60.8	0.178343486
YDR349C	64	25.76	-1.312939312
YDR350C	18.14	3.86	-2.232501703
YDR351W	35.68	20.7	-0.785484848
YDR352W	43.24	36.92	-0.22796397
YDR353W	486.07	836.68	0.783511855
YDR354W	68.54	56.82	-0.27054736
YDR356W	34.02	26.11	-0.381780683
YDR357C	70.2	44.91	-0.644434308
YDR358W	23.9	30.26	0.340401369
YDR359C	39.47	11.06	-1.835405134
YDR361C	106.78	142.1	0.4122651
YDR362C	25.99	13.01	-0.998335672
YDR363W	23.22	12.56	-0.886531508
YDR363W-A	304.14	571.26	0.909411945
YDR364C	31.41	13.28	-1.241968796
YDR365C	117.92	84.95	-0.473122577
YDR367W	83.06	58.06	-0.5166093
YDR368W	165.8	260.8	0.653499863
YDR369C	13.28	7.38	-0.847562425
YDR370C	32.15	12.41	-1.373315622
YDR371W	26.58	15.38	-0.789285601
YDR372C	132.84	105.94	-0.326442214
YDR373W	108.22	113.86	0.073293858
YDR374W-A	56.76	52.66	-0.108167068
YDR375C	29.49	15.96	-0.885765171
YDR376W	39.62	26.44	-0.583506703
YDR377W	162.23	249.53	0.621172644
YDR378C	192.33	248.92	0.372098337
YDR379W	21.22	10.65	-0.994571226
YDR380W	30.9	27.15	-0.18665464
YDR381C-A	35.89	38.57	0.103897223
YDR381W	558.6	918.82	0.717966687
YDR382W	4183.45	5332.81	0.350202736
YDR383C	27.88	14.28	-0.965234582
YDR384C	114.27	220.41	0.947742987
YDR386W	12.41	6.96	-0.834343904
YDR387C	19.21	4.69	-2.034197691
YDR388W	205.57	199.81	-0.041000951
YDR389W	56.84	25.76	-1.141773961
YDR390C	47.19	34.56	-0.449377954
YDR391C	34.92	29.44	-0.246275888
YDR392W	26.47	32.99	0.317670583
YDR393W	27.23	11.44	-1.25110993
YDR394W	167.98	197.28	0.231955231
YDR395W	141.47	117.74	-0.264891616
YDR397C	140.58	137.86	-0.02818744
YDR398W	74.57	73.86	-0.013802079
YDR399W	324.77	406.43	0.323588524
YDR400W	60.12	46.9	-0.358257087
YDR404C	108.64	112.4	0.049086651
YDR405W	34.39	46.09	0.422464652
YDR406W	26.04	8.84	-1.558611174
YDR407C	44.45	12.49	-1.831409942
YDR408C	127.97	142.77	0.157887221
YDR410C	52.87	34.58	-0.612511458
YDR411C	49.78	42.56	-0.226068079
YDR412W	55.9	117.66	1.073703753
YDR414C	32	17.22	-0.893986762
YDR415C	30.55	43.07	0.495510944
YDR416W	23.93	13.49	-0.826930049
YDR419W	18.57	10.1	-0.878618522
YDR421W	26.58	6.96	-1.933181893
YDR422C	45.22	22.14	-1.03030577
YDR423C	42.44	28.47	-0.575982163
YDR424C	141.65	249.6	0.817287332
YDR425W	14.7	11.94	-0.300013318
YDR427W	144.48	145.16	0.006774164
YDR428C	44.44	37.16	-0.258108315
YDR429C	381.95	515.88	0.433651725
YDR430C	56.24	36.12	-0.638798702
YDR432W	384.11	850.11	1.146130007
YDR434W	76.2	60.76	-0.326669128
YDR435C	29.69	22.44	-0.403904417
YDR436W	17.4	10.54	-0.723212439
YDR439W	15.98	10.16	-0.653367006
YDR440W	27.56	15.03	-0.874730879
YDR441C	73.61	50.91	-0.531952706
YDR443C	25.61	7.18	-1.834651504
YDR444W	25.41	8.53	-1.574778729
YDR448W	40.12	31.11	-0.366943211
YDR449C	66.1	60.4	-0.130101722
YDR451C	53.11	65.2	0.295888435
YDR452W	103.01	51.13	-1.010542467
YDR453C	27.35	27.05	-0.015912239
YDR454C	500.38	697.87	0.479934188
YDR456W	58.7	26.99	-1.120935527
YDR457W	113.44	36.27	-1.645080787
YDR458C	36.13	24.25	-0.575212507
YDR459C	25.38	3.37	-2.912871573
YDR460W	31.71	30.94	-0.035464681
YDR461W	373.8	1089.77	1.543685207
YDR462W	61.32	110.44	0.848833191
YDR463W	60.04	65.22	0.119390464
YDR464W	35.51	15.5	-1.195957145
YDR465C	64.61	68.44	0.083082285
YDR466W	29.28	12.65	-1.210778169
YDR468C	43.87	84.13	0.939385638
YDR469W	54.52	43.9	-0.312564622
YDR470C	26.42	19.24	-0.457521667
YDR471W	1654.25	2446.98	0.56482503
YDR472W	40.11	40.56	0.016095686
YDR473C	15.47	14.5	-0.093420297
YDR475C	20.72	7.91	-1.389274403
YDR476C	72.53	72.79	0.005162416
YDR477W	80.83	71.77	-0.171509927
YDR479C	23.36	12.48	-0.90442234
YDR480W	24.14	22.04	-0.131301452
YDR481C	235.52	211.62	-0.154373595
YDR482C	34.88	50.96	0.546965237
YDR483W	263.28	195.12	-0.432236268
YDR484W	21.63	13.28	-0.703778519
YDR485C	21.01	15.23	-0.46416022
YDR486C	55.77	73.24	0.39314252
YDR488C	22.13	9.38	-1.238343623
YDR489W	22.27	17.7	-0.331352198
YDR490C	31.53	18.93	-0.736050759
YDR492W	36.15	46.12	0.351396866
YDR493W	37.94	70.67	0.89737823
YDR494W	39.7	42.04	0.082623662
YDR495C	17.36	10.27	-0.757330766
YDR496C	107.6	123.54	0.199300158
YDR497C	213.58	109.92	-0.958322648
YDR498C	28.94	20.43	-0.502375718
YDR499W	17.2	6.31	-1.446696655
YDR500C	2685.07	4615.46	0.781514741
YDR501W	11.01	10.01	-0.137372495
YDR502C	321.93	490.08	0.606270247
YDR503C	28.9	18.7	-0.628031223
YDR505C	53.66	29.73	-0.851927591
YDR506C	15.96	11.88	-0.425925815
YDR507C	72.62	53.44	-0.442446922
YDR508C	233.22	192.39	-0.277657701
YDR510W	591.67	1205.93	1.027281515
YDR511W	51.67	69.98	0.437615781
YDR512C	62.05	109.44	0.81863702
YDR513W	194.7	388.73	0.997515567
YDR514C	25.65	23.07	-0.152940822
YDR515W	27.8	30.09	0.114199224
YDR516C	99.85	130.19	0.382784305
YDR517W	96.49	76.84	-0.328521914
YDR518W	66.78	71.43	0.097114028
YDR519W	164.16	230.71	0.490977902
YDR520C	15.37	8.91	-0.786619828
YDR524C	37.54	13.01	-1.528807688
YDR524C-B	2901.43	6745.84	1.217233978
YDR527W	56.21	40.69	-0.466152535
YDR528W	35.43	13.75	-1.365539847
YDR529C	186.92	253.65	0.440418218
YDR530C	25.16	17.73	-0.504939386
YDR531W	83.31	57.07	-0.545757115
YDR532C	16.78	12.91	-0.378253715
YDR533C	28.62	39.98	0.4822548
YDR534C	10.77	12.79	0.247998014
YDR538W	29.78	17.58	-0.760408683
YDR539W	60.34	49.15	-0.29592328
YDR541C	27.14	9.63	-1.494813018
YEL001C	253.94	302.4	0.251970477
YEL002C	213.58	230.34	0.108988409
YEL003W	191.25	232.51	0.281833018
YEL004W	15.53	14.42	-0.106986665
YEL005C	15.12	6.58	-1.20029865
YEL006W	39.1	15.15	-1.367850814
YEL009C	830.37	27.71	-4.905275706
YEL011W	18.93	12.82	-0.562278149
YEL012W	35.55	41.02	0.206477932
YEL013W	152.78	104.96	-0.541616072
YEL015W	64.4	66.65	0.049544187
YEL016C	29.67	8.05	-1.881944238
YEL017C-A	1840.54	3359.63	0.868173252
YEL017W	54.91	56.47	0.04041572
YEL018W	28.52	29.85	0.06575695
YEL020C	18.2	9.27	-0.973297206
YEL020W-A	114.16	214.99	0.913212316
YEL022W	85.98	40.46	-1.08750479
YEL023C	10.18	0.12	-6.406559345
YEL024W	63.1	92.65	0.554150971
YEL025C	31.64	5.37	-2.558755606
YEL026W	697.07	1019.43	0.548387271
YEL027W	1389.21	1877.29	0.434386831
YEL029C	33.89	18.76	-0.853199809
YEL030W	9.36	1.01	-3.212153237
YEL031W	300.57	193.74	-0.633579174
YEL032W	71.7	39.99	-0.842333838
YEL034W	3836.11	8129.51	1.083524308
YEL036C	72.58	53.7	-0.434649969
YEL037C	169.57	261.33	0.623991798
YEL038W	82.2	90.9	0.145141901
YEL040W	346.73	330.55	-0.068944153
YEL041W	8.68	4.66	-0.897365088
YEL042W	173.73	157.34	-0.142961414
YEL043W	49.6	14.76	-1.748647399
YEL044W	72.83	104.53	0.521312303
YEL046C	408.63	555.69	0.443485153
YEL047C	144.19	154.78	0.102247952
YEL048C	49.78	32.15	-0.630747493
YEL050C	53.47	37.53	-0.510685387
YEL051W	470.23	483.84	0.041163461
YEL052W	57.41	29.22	-0.974345877
YEL053C	28.63	14	-1.032100843
YEL055C	116.75	77.19	-0.596936687
YEL056W	57.76	40.16	-0.524311473
YEL058W	112.99	107.95	-0.065831852
YEL060C	89.63	104.32	0.218962173
YEL061C	37.46	15.63	-1.261033121
YEL062W	21.14	8.59	-1.29924534
YEL063C	86.25	67.09	-0.362426713
YEL064C	13.35	7.8	-0.775293713
YEL065W	150.94	114.18	-0.402665212
YEL066W	80.88	89.94	0.153179887
YEL071W	382.4	463.45	0.277331177
YEL072W	18.28	2.3	-2.990560304
YER001W	69.29	53.57	-0.37122186
YER002W	59.88	193.21	1.690023639
YER003C	281.63	410.81	0.544670278
YER004W	135.51	164.36	0.278459916
YER005W	41.02	16.37	-1.32527317
YER006W	166.4	186.85	0.16722513
YER007C-A	235.6	362.93	0.623351777
YER007W	9.1	7.24	-0.329876848
YER008C	44.3	21.73	-1.027618524
YER009W	697.65	984.89	0.497459162
YER010C	50.77	34.08	-0.575050925
YER012W	274.18	337.72	0.300704281
YER013W	22.27	13.84	-0.686257615
YER014W	37.09	24.46	-0.600605864
YER015W	6.52	1.92	-1.763765654
YER016W	63.52	56.94	-0.157768419
YER017C	66.83	28.01	-1.254553891
YER018C	27.98	17.27	-0.69612788
YER019C-A	444.07	651.92	0.553907825
YER019W	52.76	37.9	-0.477246716
YER020W	43.01	37.71	-0.189724981
YER021W	189.94	158.39	-0.262062505
YER022W	35.58	25.63	-0.473233032
YER023W	454.2	523.35	0.204448392
YER024W	9.62	1.1	-3.12853337
YER025W	333.29	471.3	0.49986765
YER026C	184.73	209.53	0.181738642
YER027C	66.17	101.11	0.611676505
YER028C	21.05	11.01	-0.935005764
YER029C	38.63	68.58	0.828066227
YER030W	163.72	329.55	1.009266799
YER031C	164.31	240.73	0.550995657
YER032W	23.98	14.25	-0.750869739
YER033C	14.55	6.28	-1.212182689
YER034W	26.45	46.62	0.817681282
YER035W	34.28	65.56	0.935448745
YER036C	429.7	415.01	-0.050183677
YER037W	32.45	29.55	-0.135060348
YER038C	14.83	4.98	-1.57430095
YER040W	20.58	12.52	-0.71700842
YER041W	14.85	1.9	-2.966391607
YER042W	115.57	178.25	0.625135129
YER043C	1099.26	1582.13	0.525335491
YER044C	76.92	91.8	0.255135391
YER045C	10.8	5.53	-0.965679927
YER047C	16.32	11.55	-0.498748206
YER048C	128.49	202.91	0.659183884
YER048W-A	145.54	212.71	0.547472144
YER049W	139.18	129.21	-0.107234183
YER050C	72.48	129.18	0.833727865
YER051W	17.48	7.31	-1.257761874
YER052C	118.74	118.29	-0.005477902
YER053C	29.75	24.91	-0.256164647
YER055C	476.64	393.67	-0.275913254
YER056C	183.91	204.45	0.152748135
YER057C	275.44	457.85	0.733136937
YER059W	33.12	29.99	-0.143221151
YER060W	27.2	10.76	-1.337928574
YER061C	30.35	17.23	-0.816773815
YER062C	174.14	241.14	0.469623355
YER063W	114.71	177.53	0.630071674
YER064C	109.37	110.65	0.016786387
YER065C	7.94	0.94	-3.078406345
YER067W	49.5	65.1	0.395229018
YER068W	46.4	59.53	0.359492089
YER069W	31.29	15.69	-0.995856306
YER070W	317.66	247.46	-0.360288093
YER071C	53.31	64.14	0.266818172
YER072W	1324.1	2061.64	0.638780351
YER073W	190.8	144.75	-0.398497823
YER074W-A	160.52	232.49	0.534415602
YER075C	25.24	12.18	-1.051197777
YER076C	14.38	6.72	-1.097530538
YER077C	18.64	11.42	-0.706839209
YER078C	31.24	17.14	-0.866027344
YER080W	117.3	97.41	-0.268061223
YER081W	33.83	11.12	-1.605146389
YER082C	67.9	66.75	-0.024643738
YER083C	87.68	98.83	0.172701242
YER086W	179.48	148.53	-0.273068734
YER087C-B	336.24	451.82	0.426256772
YER087W	22.93	20	-0.197236355
YER088C	58.91	47.7	-0.304523287
YER089C	148.94	98.56	-0.595657102
YER090W	162.61	240.31	0.563480703
YER091C	609.37	738.87	0.278002076
YER092W	74.07	103.32	0.480158306
YER093C	22.3	6.86	-1.700763229
YER094C	234.41	289.34	0.303731667
YER095W	47.79	56.58	0.243583409
YER098W	12.19	3.94	-1.629430591
YER099C	61.2	84.22	0.460631223
YER100W	78.77	163.52	1.053748921
YER101C	14.3	15.8	0.143909411
YER103W	21.6	25.44	0.236067358
YER105C	90.95	39.55	-1.201395943
YER107C	65.92	66.19	0.005897028
YER109C	20.56	4.07	-2.336739565
YER110C	458.54	457.09	-0.004569334
YER111C	41.99	16.24	-1.370494156
YER112W	92.68	151.83	0.712126931
YER113C	50.4	20.23	-1.316927414
YER114C	56.93	42.63	-0.417320044
YER115C	35.61	6.54	-2.444919895
YER116C	22.94	17.79	-0.366798881
YER118C	72.76	59.61	-0.28759117
YER119C	39.14	32.93	-0.249241244
YER120W	379.43	724.28	0.932713786
YER122C	156.57	188.62	0.26867485
YER123W	41.83	31.1	-0.427623418
YER124C	220.39	172.92	-0.349954023
YER125W	184.31	132.86	-0.472227529
YER126C	145.5	226.24	0.636834872
YER127W	69.85	70.49	0.01315849
YER129W	39.81	9.23	-2.108728318
YER130C	34.83	27.21	-0.356193516
YER131W	1718	2534.18	0.560788965
YER132C	33.98	5.94	-2.516151016
YER133W	280.15	344.44	0.298053201
YER134C	58.53	62.26	0.089129298
YER136W	215.43	256.92	0.254100033
YER139C	22.37	28.81	0.365004404
YER140W	25.96	10.22	-1.344895187
YER142C	28.08	19.24	-0.545434137
YER143W	36.32	59.97	0.72347677
YER144C	26.37	8.93	-1.562165491
YER145C	278.55	269.98	-0.045083779
YER146W	247.46	315.06	0.348431258
YER147C	17.85	9.96	-0.841706427
YER148W	174.44	176.51	0.017019025
YER149C	42.97	23.86	-0.848735734
YER151C	80.61	61.3	-0.395071748
YER152C	93.91	35.6	-1.39940155
YER153C	30.37	6.6	-2.202108979
YER154W	77.64	35.52	-1.128168536
YER155C	133.45	36.89	-1.854997611
YER156C	133.2	166.39	0.320974648
YER157W	39.75	18.92	-1.071042772
YER158C	6.17	4.08	-0.596701337
YER159C	73.41	99.91	0.444652483
YER161C	43.06	40.25	-0.097359536
YER162C	9.74	8.36	-0.22041883
YER163C	62.95	39	-0.690732254
YER164W	69.03	46.18	-0.579955311
YER165W	1011.24	1290.75	0.352084162
YER166W	84.03	32.58	-1.36691788
YER167W	32.22	13.94	-1.208725933
YER168C	52.29	43.16	-0.276840205
YER169W	22.38	11.97	-0.902786884
YER170W	19.23	27.14	0.497061958
